valid. perplexity,dropout 0.0,dropout 0.1,dropout 0.3,dropout 0.5,dropout 0.6,dropout 0.9
1,507.5612442040624,483.4540551853883,477.467584212441,443.13532052364496,456.15137672525526,552.216850039137
2,324.5029671570378,339.4850867668253,359.1572437779386,336.2614326672878,349.81354195648345,434.8434045635176
3,274.8434920130038,286.38024904638604,297.6869348673147,280.2371116804033,292.0792046593348,400.5518596272094
4,261.69792427486453,280.3768021676743,266.2414416668226,258.42407232430577,252.66181009458163,384.9534882895806
5,232.27648625116842,259.116007737925,229.91674393784194,235.81741925990931,235.1105391902361,374.04922160185765
6,226.17458941578198,224.57290414993932,217.1655569682296,231.5098304073537,240.7846505367868,366.978056001658
7,230.93246094179264,224.71839534786685,214.6329547297158,215.84076436800808,210.16399945420673,364.4332648076148
8,210.98209021260521,206.53953495471873,207.82608758012017,206.47605366738918,205.62496732112243,360.2231831879807
9,217.0185519641019,208.21187239606007,202.25581910740183,198.14448864104654,201.72555213519007,354.04010175105134
10,211.06078827331496,204.2262537520625,200.378714700153,199.77269196092035,200.19168013133668,353.6839319971195
11,210.97549703746324,205.5564981461844,213.79791924264248,183.91998390828493,199.03985408602347,352.1676384349174
12,211.43418273250646,203.30540118245014,199.38348206213868,183.69706390407885,196.12725977031909,350.24574917530634
13,210.83877598898815,203.14212430251098,202.23462094609692,182.2334710995968,195.4069917822234,349.41061459403596
14,210.79367732622475,203.5568193752937,195.03199288956017,180.5322290012418,191.6084315769809,348.8718921910038
15,210.88791285904685,202.5374279440753,196.49786950933213,181.36253538370312,191.3013479591376,349.52457462404186
16,210.8112434435801,202.3966961109699,194.63708432211735,179.94541243831273,192.00423583937217,343.9341192094737
17,210.79037639267517,202.28294334028112,194.29675018693365,179.22590955957648,187.71227142832467,341.3307250668631
18,210.77192230083736,202.26794939453308,195.11098381229488,180.20034663424028,187.07262006379295,340.46203102435385
19,210.75568695350748,202.32264927589202,194.76313782165056,178.93514422779646,187.18774335823176,339.6842340099671
20,210.7415065058398,202.26639227755203,194.70824469126552,178.6659434437304,185.4090538859564,338.2410715869191
21,210.72919291462284,202.24188057403117,194.68195925355909,178.95261413159668,185.3652387751546,336.2412727551028
22,210.71858876245392,202.22164927704586,194.67708497138972,178.655168290253,185.78305459001913,335.2340683306328
23,210.70956634621004,202.20062676819268,194.67557506401923,178.56498501027798,184.84155863991242,333.7249823541725
24,210.70198290716965,202.19016226400677,194.67524263404567,178.5360338071554,184.66288861980533,333.04192343793324
25,210.69574197151363,202.22522136674002,194.67521004827154,178.5152317722346,184.47622126576826,331.7405286744425
26,210.69074977098484,202.21925113692387,194.67523304999395,178.48876685323,184.2025695630852,329.88068048596995
27,210.68685507726516,202.21955065399732,194.6752215491325,178.46467027734172,184.2723203526655,329.8363575232848
28,210.6840157480763,202.2204005681079,194.67521579870183,178.43045438702512,184.27497040506285,327.9903016262184
29,210.68213957732905,202.22024440892216,194.67521607253187,178.32628036068647,184.25739326555745,327.42640157850076
30,210.68114948985024,202.22020686246918,194.67521004827154,178.44517347400443,184.2577335643772,326.268538071845
31,210.6810004288938,202.22022876456597,194.6752215491325,178.42128807446494,184.25774211721165,324.4205914582427
32,210.68157770729994,202.22023274676562,194.67521771551196,178.4154195526519,184.25751352340828,324.2815725512361
33,210.68135307824542,202.22023160899428,194.67521771551196,178.41531440086104,184.25748086717374,323.2995895354206
34,210.68127010187422,202.22022279126665,194.67521771551196,178.41517085245437,184.25747361023357,321.78785217419414
35,210.6813139608092,202.22023672896532,194.67521771551196,178.41508075832104,184.25747905293866,321.15352867937287
36,210.68133677931286,202.22023672896532,194.67521771551196,178.4150719747729,184.2574754244686,321.2338141611362
37,210.68132937070757,202.22023473786547,194.67521771551196,178.41507548819212,184.25747723870361,320.33433639133665
38,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.2574681675286,319.2826754951719
39,210.68132107306977,202.22023473786547,194.67521771551196,178.41506494793455,184.25747361023357,319.27120157432466
40,210.68132314747913,202.22023473786547,194.67521771551196,178.41508251503072,184.25747179599855,318.72682440403463
41,210.68133144511702,202.22023473786547,194.67521771551196,178.4150790016114,184.25747179599855,318.1189561930934
42,210.68132937070757,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.31647882011976
43,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.36188685493477
44,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.32152985723576
45,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.3008381725959
46,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.3008865265467
47,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30079742992103
48,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.300977414085
49,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.301033379331
50,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.3010432292153
51,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.3010477064355
52,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104143832716
53,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
54,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
55,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
56,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
57,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
58,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
59,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
60,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
61,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
62,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
63,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
64,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
65,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
66,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
67,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
68,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
69,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
70,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
71,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
72,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
73,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
74,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
75,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
76,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
77,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
78,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
79,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
80,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
81,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
82,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
83,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
84,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
85,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
86,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
87,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
88,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
89,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
90,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
91,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
92,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
93,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
94,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
95,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
96,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
97,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
98,210.68132729629812,202.22023473786547,194.67521771551196,178.41507548819212,184.25747179599855,318.30104457238133
